物料编码,物料名称,E3单据数,E3总行数,E3总数量,NC汇总数量,修正差异,当前各行差异,是否重复
6839AA000625,"70迈汽车轮胎充气泵青春版",2,2,4034,7380,-3346,"-3348;-7378",YES
6839AA800296,"70迈停车监控线UP03（296）",4,4,11104,14220,-3116,"-10080;-13200;-8340;-14156",YES
6830AA800562,"70迈M310 Pro 3K版(562)",2,2,1947,3840,-1893,"-1920;-3813",YES
6830AA800530,"70迈A400 Pro 4K",2,2,1985,3568,-1583,"-1632;-3519",YES
6839AA800298,"70迈后录摄像头(RC22)",2,2,570,300,270,"-30;0",YES
6830AA800741,"70迈 M800 PRO （741）DY",2,2,2433,2631,-198,"-831;-1998",YES
5041AA800064,"70迈记录仪支架（A810PLUS）",3,3,63,0,63,"0;0;0",YES
7601AA800081,"七十迈单口车载充电器（单口1.5A）",2,2,5562,5500,62,"0;-5438",YES
6830AA800559,"70迈M310 Pro 4K（559）",3,3,5768,5715,53,"-1875;-3840;-5662",YES
6830AA800681,"70迈M310X 4K",2,2,952,919,33,"0;-886",YES
6830AA800563,"70迈M310X 3K",2,2,1459,1440,19,"0;-1421",YES
6842AA800085,"M310 PR0配件包（3M胶/静电贴*2）",5,5,317,300,17,"-100;-200;-295;-295;-293",YES
6830AA800714,"70迈 M800 PRO	（741）DY",4,4,3783,3773,10,"-3033;-3560;-953;-3763",YES
7601AA800153,"Hiigge 滤芯棉3片装（配件包）-light",2,2,2110,2100,10,"0;-2090",YES
6830AA800564,"Hiigge 雪仓宠物智能喂食器【Mini-白色碗】",2,2,168,160,8,"0;-152",YES
6830AA800362,"Hiigge 宠物智能饮水机-light",2,2,284,278,6,"0;-272",YES
6830AA800436,"Hiigge 雪仓宠物智能喂食器",2,2,455,450,5,"0;-445",YES
6830AA800538,"Hiigge 宠物智能饮水机-light2（抑菌版）",2,2,324,320,4,"0;-316",YES
ZP0005,"70迈水杯",2,2,3,0,3,"0;0",YES
6842AA800112,"70迈4G监控线UP04（112）",2,2,963,960,3,"0;-957",YES
6839AA800304,"70迈无线充气泵（TP07）",2,2,1010,1008,2,"0;-1006",YES
6839AA800243,"Hiigge 饮水机【水泵滤棉X6】-light",2,2,3002,3000,2,"0;-2998",YES
6842AA800046,"Hiigge 雪仓宠物智能喂食器【5.8CM增高支架】",2,2,202,200,2,"0;-198",YES
5041AA800069,"雪仓宠物智能喂食器(粮桶盖)",2,2,2,0,2,"0;0",YES
6839AA800284,"70迈高清后录摄像头(RC24)",2,2,1021,1020,1,"0;-1019",YES
6842AA800048,"Hiigge 雪仓宠物智能喂食器【干燥剂1盒*3片（048）】",2,2,1601,1600,1,"0;-1599",YES
6842AA800132,"A810 PRO配件包（3M胶/静电贴*2）",2,2,302,301,1,"0;-300",YES
6830AA800740,"A400 Pro 4K （740）DY",2,2,1724,1724,0,"-860;-864",YES
6830AA800742,"A400X 4K (742) DY",2,2,1984,1984,0,"-1120;-864",YES
6839AA800313,"70迈OBD停车监控线Type-C（313）",3,3,5500,5500,0,"-5000;-3500;-2500",YES
6839AA800227,"70迈停车监控车载电源",2,2,408,408,0,"-204;-204",YES
