账单行号,单号,快递公司,目的地省,账单重量,账单快递费,账单操作费,账单金额,商家ID,在订单中,订单快递,订单省份,订单重量,理论重量,理论快递费,理论总费用,费用差异,重量匹配,状态

2,435155227552366,韵达快递,天津市,1,2.8,0.9,3.7,7******店(3216296648),否,,,,,,,,,未在发货订单中
3,435157019616435,韵达快递,黑龙江省,1,2.8,0.9,3.7,7******店(3216296648),否,,,,,,,,,未在发货订单中
4,428186207819470,韵达快递,广东省,1,2.8,0.9,3.7,70迈官旗(253810120),否,,,,,,,,,未在发货订单中
5,428186502450867,韵达快递,广东省,1,2.8,0.9,3.7,70迈官旗(253810120),是,韵达快递,广东省,0.1,0.1,2.8,3.7,0,差异(1 vs 0.1),金额一致
6,435159125648713,韵达快递,四川省,1,2.8,0.9,3.7,7******店(3216296648),否,,,,,,,,,未在发货订单中
7,435159073835583,韵达快递,江苏省,1,2.8,0.9,3.7,7******店(3216296648),否,,,,,,,,,未在发货订单中
8,435162229668726,韵达快递,湖南省,1,2.8,0.9,3.7,7******店(3216296648),否,,,,,,,,,未在发货订单中
9,428186694414475,韵达快递,江苏省,1,2.8,0.9,3.7,70迈官旗(253810120),否,,,,,,,,,未在发货订单中
10,435164629804604,韵达快递,福建省,1,2.8,0.9,3.7,7******店(3216296648),否,,,,,,,,,未在发货订单中
11,435164612779048,韵达快递,福建省,1,2.8,0.9,3.7,7******店(3216296648),否,,,,,,,,,未在发货订单中
12,428186809807277,韵达快递,广东省,1,2.8,0.9,3.7,70迈官旗(253810120),是,韵达快递,广东省,0.1,0.1,2.8,3.7,0,差异(1 vs 0.1),金额一致
13,435164626634800,韵达快递,云南省,1,2.8,0.9,3.7,7******店(3216296648),否,,,,,,,,,未在发货订单中
14,435166923421555,韵达快递,贵州省,1,2.8,0.9,3.7,7******店(3216296648),是,韵达快递,贵州省,0.2,0.2,2.8,3.7,0,差异(1 vs 0.2),金额一致
15,435166124244750,韵达快递,安徽省,1,2.8,0.9,3.7,7******店(3216296648),是,韵达快递,安徽省,0.2,0.2,2.8,3.7,0,差异(1 vs 0.2),金额一致
16,428187298923865,韵达快递,天津市,1,2.8,0.9,3.7,70迈官旗(253810120),是,韵达快递,天津,0.1,0.1,2.8,3.7,0,差异(1 vs 0.1),金额一致
17,435168581628012,韵达快递,内蒙古自治区,1,2.8,0.9,3.7,7******店(3216296648),否,,,,,,,,,未在发货订单中
18,435168540682344,韵达快递,江苏省,1,2.8,0.9,3.7,7******店(3216296648),否,,,,,,,,,未在发货订单中
19,435168341520201,韵达快递,江苏省,1,2.8,0.9,3.7,7******店(3216296648),是,韵达快递,江苏省,0.2,0.2,2.8,3.7,0,差异(1 vs 0.2),金额一致
20,435168490314073,韵达快递,安徽省,1,2.8,0.9,3.7,7******店(3216296648),是,韵达快递,安徽省,0.2,0.2,2.8,3.7,0,差异(1 vs 0.2),金额一致
21,428186825288171,韵达快递,北京市,1,2.8,0.9,3.7,70迈官旗(253810120),否,,,,,,,,,未在发货订单中
22,428187146795907,韵达快递,河南省,1,2.8,0.9,3.7,70迈官旗(253810120),是,韵达快递,河南省,0.1,0.1,2.8,3.7,0,差异(1 vs 0.1),金额一致
23,321130931645985,韵达快递,浙江省,1,2.8,0.9,3.7,70迈官方旗舰店(8935270),是,韵达快递,浙江省,0.1,0.1,2.8,3.7,0,差异(1 vs 0.1),金额一致
24,435174901885229,韵达快递,上海市,1,2.8,0.9,3.7,7******店(3216296648),否,,,,,,,,,未在发货订单中
25,321133507566444,韵达快递,湖南省,1,2.8,0.9,3.7,70迈官方旗舰店(8935270),否,,,,,,,,,未在发货订单中
26,435174401794917,韵达快递,河南省,1,2.8,0.9,3.7,7******店(3216296648),是,韵达快递,河南省,0.2,0.2,2.8,3.7,0,差异(1 vs 0.2),金额一致
27,435176526234811,韵达快递,四川省,1,2.8,0.9,3.7,7******店(3216296648),否,,,,,,,,,未在发货订单中
28,435176893944875,韵达快递,浙江省,1,2.8,0.9,3.7,7******店(3216296648),否,,,,,,,,,未在发货订单中
29,321130939367001,韵达快递,广东省,1,2.8,0.9,3.7,70迈官方旗舰店(8935270),是,韵达快递,广东省,0.1,0.1,2.8,3.7,0,差异(1 vs 0.1),金额一致
30,435178414185900,韵达快递,贵州省,1,2.8,0.9,3.7,7******店(3216296648),否,,,,,,,,,未在发货订单中
31,435181376547412,韵达快递,辽宁省,1,2.8,0.9,3.7,7******店(3216296648),是,韵达快递,辽宁省,0.3,0.3,2.8,3.7,0,差异(1 vs 0.3),金额一致
32,435183262627127,韵达快递,上海市,1,2.8,0.9,3.7,7******店(3216296648),是,韵达快递,上海,1,1,2.8,3.7,0,一致,金额一致
33,428188060093348,韵达快递,黑龙江省,1,2.8,0.9,3.7,70迈官旗(253810120),是,韵达快递,黑龙江省,0.1,0.1,2.8,3.7,0,差异(1 vs 0.1),金额一致
34,435184745583687,韵达快递,山东省,1,2.8,0.9,3.7,7******店(3216296648),是,韵达快递,山东省,0.2,0.2,2.8,3.7,0,差异(1 vs 0.2),金额一致
35,435186696763236,韵达快递,湖南省,1,2.8,0.9,3.7,7******店(3216296648),是,韵达快递,湖南省,0.2,0.2,2.8,3.7,0,差异(1 vs 0.2),金额一致
36,428187784454557,韵达快递,福建省,1,2.8,0.9,3.7,70迈官旗(253810120),否,,,,,,,,,未在发货订单中
37,435188152072347,韵达快递,湖北省,1,2.8,0.9,3.7,7******店(3216296648),是,韵达快递,湖北省,0.2,0.2,2.8,3.7,0,差异(1 vs 0.2),金额一致
38,435188984324822,韵达快递,云南省,1,2.8,0.9,3.7,7******店(3216296648),是,韵达快递,云南省,0.2,0.2,2.8,3.7,0,差异(1 vs 0.2),金额一致
39,435189951042487,韵达快递,山西省,1,2.8,0.9,3.7,7******店(3216296648),是,韵达快递,山西省,0.2,0.2,2.8,3.7,0,差异(1 vs 0.2),金额一致
40,435189906462057,韵达快递,山东省,1,2.8,0.9,3.7,7******店(3216296648),否,,,,,,,,,未在发货订单中
41,435191353490947,韵达快递,山东省,1,2.8,0.9,3.7,7******店(3216296648),否,,,,,,,,,未在发货订单中
42,435191374447981,韵达快递,四川省,1,2.8,0.9,3.7,7******店(3216296648),否,,,,,,,,,未在发货订单中
43,435191494504506,韵达快递,山东省,1,2.8,0.9,3.7,7******店(3216296648),否,,,,,,,,,未在发货订单中
44,435191358868796,韵达快递,江苏省,1,2.8,0.9,3.7,7******店(3216296648),否,,,,,,,,,未在发货订单中
45,435195001561669,韵达快递,广东省,1,2.8,0.9,3.7,7******店(3216296648),是,韵达快递,广东省,0.1,0.1,2.8,3.7,0,差异(1 vs 0.1),金额一致
